abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,revenue_from_goods_and_services,revenue_from_investments,other_beneficiaries_not_listed,other_beneficiaries_description,main_beneficiaries,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
92063104622,Rotary Club Of Richmond Community Services Trust,VIC,Small,TRUE,Other education,TRUE,0,0,0,15,0,11290,0,0,219,11509,0,0,8850,0,0,8850,2659,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,11509,0,accurate,8850,0,accurate,15,0,not excessive,0,0,0,balanced
92067484146,Afl Sports Ready Limited,VIC,Large,TRUE,Employment training,TRUE,422,89,225,0,4828772,0,15620620,20449392,0,20449392,14314137,0,0,5908188,0,20222325,227067,2016,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,NA,NA,FALSE,NA,NA,20449392,0,accurate,20222325,0,accurate,736,19448.55570652174,not excessive,0,4828772,0.23613279064727205,balanced
92072564310,Legal Service Bulletin Co-Operative Ltd,VIC,Small,TRUE,Law legal services,TRUE,0,1,1,0,0,0,95859,0,0,95859,90532,0,0,0,35159,125691,-29832,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,95859,0,accurate,125691,0,accurate,2,45266,not excessive,0,0,0,balanced
92084673124,Blossom Park Kindergarten Inc,VIC,Medium,TRUE,Other education,TRUE,2,8,0,12,370086,0,169014,539100,0,539100,477752,0,0,0,136119,613871,-74771,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,539100,0,accurate,613871,0,accurate,22,21716,not excessive,0,370086,0.686488592097941,balanced
92086054195,ConnectGV,VIC,Large,TRUE,Other health service delivery,TRUE,25,43,51,10,6657645,55524,1519458,8232627,0,8232627,6306248,0,200000,0,1346854,7853102,379525,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,FALSE,NA,NA,8232627,0,accurate,7853102,0,accurate,129,48885.64341085271,not excessive,0,6657645,0.8086902273114037,balanced
92098187207,Ostara Australia Limited,VIC,Large,TRUE,Employment training,TRUE,61,14,5,0,0,0,13662773,13662773,500421,14163194,5396800,3453,0,0,8948282,14348535,-185341,2016,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,NA,NA,FALSE,NA,NA,14163194,0,accurate,14348535,0,accurate,80,67460,not excessive,0,0,0,balanced
92106088918,Nomit (Italian Network of Melbourne) Inc.,VIC,Small,TRUE,Social services,TRUE,0,0,0,23,16500,2400,6289,0,0,25189,5918,0,0,0,16667,22585,2604,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,25189,0,accurate,22585,0,accurate,23,257.30434782608694,not excessive,0,16500,0.6550478383421334,balanced
92114767949,Raising Children Network (Australia) Limited,VIC,Large,TRUE,Other education,TRUE,0,0,0,0,2698000,0,18308,2716308,5820,2722128,0,0,0,0,2702234,2702234,19894,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,FALSE,NA,NA,2722128,0,accurate,2702234,0,accurate,0,0,not excessive,0,2698000,0.9911363462702709,balanced
92123496882,The Road Safety Foundation Limited,VIC,Small,TRUE,Other health service delivery,TRUE,0,0,0,3,0,123,4365,0,0,4488,0,0,0,0,163,163,4325,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,4488,0,accurate,163,0,accurate,3,0,not excessive,0,0,0,balanced
92126201791,The Trustee For Monash Investment Trust,VIC,Large,TRUE,Other education,TRUE,0,0,0,0,0,1648000,1021000,2669000,0,2669000,0,0,0,0,63000,63000,2606000,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,TRUE,Monash University,NA,2669000,0,accurate,63000,0,accurate,0,0,not excessive,0,0,0,balanced
92129513935,Orbost Youth Group Inc.,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,12,0,15000,0,0,0,15000,0,0,0,0,14957,14957,43,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,15000,0,accurate,14957,0,accurate,12,0,not excessive,0,0,0,balanced
92139179320,WARRAGUL RSL SUB-BRANCH PATRIOTIC FUND,Vic,Small,TRUE,Social services,TRUE,0,0,0,5,0,0,7384,0,0,7384,0,0,0,0,8710,8710,-1326,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,7384,0,accurate,8710,0,accurate,5,0,not excessive,0,0,0,balanced
92143925455,Liptember Foundation,VIC,Medium,TRUE,Mental health crisis intervention,TRUE,1,0,0,0,410154,429691,348,840193,0,840193,91560,0,630000,0,80826,802386,37807,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,840193,0,accurate,802386,0,accurate,1,91560,not excessive,0,410154,0.48816640938451045,balanced
92155278912,Inverloch & District Pre School Assn Inc,VIC,Small,TRUE,Other education,TRUE,2,7,3,30,2000,1891,11067,0,2200,17158,4219,0,0,0,5743,9962,7196,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,17158,0,accurate,9962,0,accurate,42,100.45238095238095,not excessive,0,2000,0.11656370206317752,balanced
92156423755,Murray PHN Limited,VIC,Large,TRUE,Other health service delivery,TRUE,66,14,3,0,23522355,0,1594929,25117284,0,25117284,7109545,0,0,0,17493534,24603079,514205,2016,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,NA,NA,FALSE,NA,NA,25117284,0,accurate,24603079,0,accurate,83,85657.1686746988,not excessive,0,23522355,0.9365007378982536,balanced
92168550276,The Nappy Collective Inc,VIC,Small,TRUE,Economic social community development,TRUE,0,1,0,250,0,93479,8666,0,0,102145,48521,0,0,0,43176,91697,10448,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,102145,0,accurate,91697,0,accurate,251,193.31075697211156,not excessive,0,0,0,balanced
