abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
36057096465,Leadership Victoria Ltd,VIC,Large,TRUE,Economic social community development,TRUE,11,2,0,200,0,75000,2125446,2200446,32454,2232900,1276308,0,0,0,1158695,2435003,-202103,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,2232900,0,accurate,2435003,0,accurate,213,5992.056338028169,not excessive,0,0,0,balanced
36062783362,Medical Mission Aid Incorporated,VIC,Medium,TRUE,International activities,TRUE,0,3,0,100,0,126519,132471,258990,0,258990,56369,0,4590,147256,31508,239723,19267,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,258990,0,accurate,239723,0,accurate,103,547.2718446601941,not excessive,0,0,0,balanced
36079687722,Disability Discrimination Legal Service Inc,VIC,Medium,TRUE,Law legal services,TRUE,1,3,1,70,257092,0,36432,293525,4392,297917,256160,0,0,0,56565,312725,-14801,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,297916,1,accurate,312725,0,accurate,75,3415.4666666666667,not excessive,0,257092,0.8629651882906985,balanced
36081348227,Tenants Union Of Victoria Limited,VIC,Large,TRUE,Law legal services,TRUE,11,13,4,0,2161385,10352,15972,2187709,19909,2207618,1462081,0,0,0,785912,2247993,-40375,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,2207618,0,accurate,2247993,0,accurate,28,52217.17857142857,not excessive,0,2161385,0.9790575181032226,balanced
36091171470,Cardiomyopathy Association Of Australia Limited,VIC,Small,TRUE,Other education,TRUE,0,0,0,50,3641,2180,0,0,0,16015,0,0,0,0,18644,18644,-2629,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,5821,10194,accurate,18644,0,accurate,50,0,not excessive,0,3641,0.22734935997502342,balanced
36094170975,Southern Cross Kids' Camps,VIC,Medium,TRUE,Social services,TRUE,0,3,1,500,3000,125241,181444,309685,9162,318847,50121,0,0,0,228502,278623,40224,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,318847,0,accurate,278623,0,accurate,504,99.44642857142857,not excessive,0,3000,0.009408901448029933,balanced
36094426061,Marriott Support Services,VIC,Large,TRUE,Social services,TRUE,50,125,25,91,3713294,63325,3361161,7137780,140731,7278511,5054553,89924,0,0,1860970,7005447,273064,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,7278511,0,accurate,7005447,0,accurate,291,17369.59793814433,not excessive,0,3713294,0.5101722041774753,balanced
36104065401,South West Training Services Pty Ltd,VIC,Large,TRUE,Employment training,TRUE,3,6,5,0,1297179,0,130752,1427931,0,1427931,667503,0,0,0,563666,1231169,196762,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,1427931,0,accurate,1231169,0,accurate,14,47678.78571428572,not excessive,0,1297179,0.908432550312305,balanced
36129537406,Iramoo Community Centre Incorporated,VIC,Medium,TRUE,Economic social community development,TRUE,0,12,0,58,111837,464,209093,321394,2248,323642,231122,0,0,0,121515,352637,-28994,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,323642,0,accurate,352637,0,accurate,70,3301.7428571428572,not excessive,0,111837,0.3455577459044253,balanced
36146408318,Woor-Dungin Inc.,VIC,Small,TRUE,Economic social community development,TRUE,0,0,7,38,0,158559,0,0,0,159247,76396,0,0,0,81681,158077,1170,2015,Valid ABN,TRUE,TRUE,S,TRUE,Small,158559,688,accurate,158077,0,accurate,45,1697.6888888888889,not excessive,0,0,0,balanced
