abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,government_grants,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
39774045170,Youth Affairs Council Of Victoria Inc,Victoria,Large,TRUE,Civic advocacy activities,TRUE,6,30,5,70,0,372936,3845834,0,3845834,2314286,0,0,0,1257184,3571470,274364,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,3069614,3442550,403284,accurate,3571470,0,accurate,111,20849.423423423425,not excessive,0,3069614,0.7981660154858478,balanced
39835407788,Association For Children With A Disability,Victoria,Large,TRUE,Social services,TRUE,4,19,6,0,64982,0,1568432,0,1568432,1019613,0,0,0,496573,1516186,52246,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,1457093,1522075,46357,accurate,1516186,0,accurate,29,35159.06896551724,not excessive,0,1457093,0.9290125424627909,balanced
39851031355,Dallas Welfare and Youth Service Incorporated.,Victoria,Large,TRUE,Other education,TRUE,3,16,0,6,0,927,1231687,0,1231687,1044690,0,0,0,184311,1229001,2686,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,819283,820210,411477,accurate,1229001,0,accurate,25,41787.6,not excessive,0,819283,0.6651714274811701,balanced
39853867516,Sandybeach Community Co-Operative Society Limited,Victoria,Large,TRUE,Economic social community development,TRUE,2,26,26,75,1181,29654,1423171,0,1423171,1146186,0,0,0,245280,1391466,31705,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,968939,999774,423397,accurate,1391466,0,accurate,129,8885.162790697674,not excessive,0,968939,0.6808310456016881,balanced
39863450054,Good Shepherd Early Childhood Services,VIC,Large,TRUE,Social services,TRUE,3,23,5,0,0,11832,1475128,0,1475128,1265001,11,0,0,266940,1531952,-56824,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,856102,867934,607194,accurate,1531952,0,accurate,31,40806.48387096774,not excessive,0,856102,0.5803577723424679,balanced
39873803436,Peninsula Prostate Cancer Support Group Inc.,Victoria,Small,TRUE,Other health service delivery,TRUE,0,0,0,30,4967,5166,10133,0,10133,0,0,6000,0,4177,10177,-44,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,10133,0,accurate,10177,0,accurate,30,0,not excessive,0,0,0,balanced
40041783778,Ballarat And District Genealogical Society Inc,VIC,Small,TRUE,Other education,TRUE,0,0,0,20,228,9710,18886,0,18886,0,0,0,0,13044,13044,5842,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,9938,8948,accurate,13044,0,accurate,20,0,not excessive,0,0,0,balanced
40061026344,Testigo Projects Inc,VIC,Small,TRUE,International activities,TRUE,0,0,0,6,56275,0,58040,0,58040,0,0,0,32594,38371,70965,-12925,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,56275,1765,accurate,70965,0,accurate,6,0,not excessive,0,0,0,balanced
40088633164,The Trustee For A. C. Goode Charitable Foundation,Victoria,Small,TRUE,Economic social community development,TRUE,1,2,0,0,16800,0,18113,0,18113,0,0,13075,5076,1361,19512,-1399,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,16800,1313,accurate,19512,0,accurate,3,0,not excessive,0,0,0,balanced
40115950441,Chevra Hatzolah Melbourne Inc,Victoria,Medium,TRUE,Emergency relief,TRUE,4,2,1,140,783460,638,784098,0,784098,346651,0,0,0,307241,653892,130206,2018,Valid ABN,TRUE,TRUE,M,TRUE,Medium,0,784098,0,accurate,653892,0,accurate,147,2358.170068027211,not excessive,0,0,0,balanced
40119149357,Ararat Community Opshop,Victoria,Small,TRUE,Social services,TRUE,0,0,0,5,0,230,20257,0,20257,0,0,0,0,18615,18615,1642,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,230,20027,accurate,18615,0,accurate,5,0,not excessive,0,0,0,balanced
40120737724,Skyline Education Foundation Australia,Victoria,Medium,TRUE,Other education,TRUE,0,6,2,20,472445,0,477215,0,477215,254127,0,0,0,228404,482531,-5316,2018,Valid ABN,TRUE,TRUE,M,TRUE,Medium,0,472445,4770,accurate,482531,0,accurate,28,9075.964285714286,not excessive,0,0,0,balanced
40164514121,Federation of Victorian Traditional Owner Corporations Ltd,Victoria,Large,TRUE,Economic social community development,TRUE,6,7,6,1,0,0,5763098,0,5763098,3843554,0,0,0,2478804,6322358,-559260,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,4970267,4970267,792831,accurate,6322358,0,accurate,20,192177.7,not excessive,0,4970267,0.8624297209591092,balanced
40293510471,Southern Stay Disability Services Incorporated,Victoria,Large,TRUE,Other health service delivery,TRUE,18,56,113,2,29623,742044,5975690,17459,5993149,4925401,0,0,0,763514,5688915,304234,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,5148287,5937413,55736,accurate,5688915,0,accurate,189,26060.32275132275,not excessive,0,5148287,0.8590287009383548,balanced
40375715114,Light Of Hope Foundation Incorporated,Victoria,Small,TRUE,Aged care activities,TRUE,0,0,1,15,26150,0,26150,0,26150,0,0,0,0,25580,25580,570,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,26150,0,accurate,25580,0,accurate,16,0,not excessive,0,0,0,balanced
40393192322,Victorian African Health Action Network Inc,Victoria,Small,TRUE,Other health service delivery,TRUE,0,0,0,14,315,110,425,0,425,0,0,0,0,617,617,-192,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,425,0,accurate,617,0,accurate,14,0,not excessive,0,0,0,balanced
40484493135,WIMMERA LEGACY CLUB AS THE OPERATOR OF A PBI,Victoria,Small,TRUE,Social services,TRUE,0,0,1,41,18445,80854,101538,0,101538,39982,0,12178,0,52575,104735,-3197,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,99299,2239,accurate,104735,0,accurate,42,951.952380952381,not excessive,0,0,0,balanced
40521796879,Yarra Valley Group Of Melbourne Legacy Incorporated,Victoria,Small,TRUE,Social services,TRUE,0,0,0,12,159023,32006,205174,0,205174,0,0,75744,0,13058,88802,116372,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,191029,14145,accurate,88802,0,accurate,12,0,not excessive,0,0,0,balanced
